x,y,z
-0.06712,0.0098036,0.078824
-0.06623,0.0046094,0.066838
-0.069326,0.024726,0.058437
-0.068679,0.028619,0.054738
-0.068531,0.010135,0.0386
-0.068685,0.028521,0.070749
-0.069406,0.030687,0.030256
-0.069396,0.010204,0.034894
-0.067077,0.028421,0.071297
-0.06915,0.0079595,0.04782
-0.068668,0.036376,0.04977
-0.066366,0.014038,0.078568
-0.071067,0.0046837,0.075489
-0.068119,0.035454,0.035072
-0.06781,0.038209,0.053364
-0.068061,0.008291,0.029841
-0.069031,0.0010526,0.033317
-0.068691,0.019108,0.028192
-0.068502,7.8254e-05,0.044998
-0.067562,0.037183,0.045543
-0.067388,0.0016289,0.072204
-0.069243,0.010975,0.031031
-0.06718,1.7124e-05,0.071379
-0.067702,0.03407,0.033787
-0.067048,0.020948,0.053453
-0.067408,0.0040361,0.052767
-0.068034,0.034739,0.033377
-0.068627,0.0064643,0.04735
-0.067447,0.037659,0.045688
-0.069381,0.03238,0.055024
-0.067161,0.038014,0.060291
-0.069014,0.028159,0.029096
-0.066134,0.013679,0.084644
-0.068574,0.0367,0.040974
-0.066173,0.04155,0.040059
-0.064787,0.00012682,0.044894
-0.066732,0.021221,0.056848
-0.065803,0.022763,0.080499
-0.06611,0.021273,0.08083
-0.067324,0.0033244,0.047158
-0.066347,0.032816,0.049498
-0.067584,0.035559,0.036064
-0.064662,0.026953,0.027685
-0.067989,-0.0020548,0.053965
-0.066905,0.033049,0.050553
-0.066117,0.020069,0.073389
-0.065992,0.038009,0.064431
-0.070575,0.0034322,0.074733
-0.066196,0.0013195,0.073106
-0.06741,0.0039274,0.048061
-0.066249,0.032098,0.07102
-0.06491,0.012997,0.087933
-0.06807,0.035659,0.037362
-0.068643,0.037583,0.042763
-0.065184,0.026968,0.071804
-0.066332,0.031518,0.066846
-0.063491,0.044059,0.055724
-0.06542,0.024871,0.072974
-0.066079,0.035016,0.055656
-0.065545,0.035314,0.046596
-0.065763,0.035148,0.071217
-0.067493,0.013381,0.03178
-0.062925,0.025593,0.052593
-0.065682,0.030549,0.076315
-0.065847,0.034182,0.037953
-0.064676,0.039416,0.057293
-0.065517,0.016037,0.035753
-0.066794,0.012332,0.039684
-0.068382,-0.0012353,0.041345
-0.066578,0.0034559,0.050281
-0.067266,0.025225,0.031485
-0.063699,0.026934,0.051478
-0.064929,0.020653,0.070501
-0.065998,0.0032823,0.053337
-0.065815,0.031282,0.070738
-0.067129,0.038878,0.046431
-0.067095,0.033284,0.050482
-0.065438,0.033728,0.038765
-0.066953,0.013576,0.034415
-0.066751,0.023792,0.03363
-0.066511,0.037144,0.03194
-0.066698,0.022826,0.053524
-0.065528,0.028164,0.053488
-0.064447,0.0008818,0.045201
-0.067643,0.03951,0.050263
-0.063525,0.011043,0.073591
-0.065512,-0.0020794,0.059129
-0.065371,0.0028215,0.047651
-0.064843,0.029028,0.078607
-0.065206,0.041469,0.046122
-0.063515,0.0029709,0.050187
-0.065369,0.033394,0.040008
-0.068076,0.035566,0.037697
-0.063065,0.021037,0.088864
-0.066817,0.0095953,0.078882
-0.064466,0.041082,0.062449
-0.063781,-0.00070877,0.073475
-0.066374,0.012583,0.029396
-0.06673,0.0044467,0.051008
-0.065468,0.033416,0.065236
-0.064004,0.024951,0.07983
-0.065413,0.014266,0.08091
-0.066141,0.0023384,0.04589
-0.065273,0.020331,0.07655
-0.063997,0.017534,0.077812
-0.063817,0.016948,0.066612
-0.06677,0.0064697,0.082419
-0.066139,0.016419,0.033886
-0.06663,0.023879,0.028685
-0.063092,0.010307,0.090481
-0.066499,0.021366,0.034601
-0.064061,0.0090408,0.083591
-0.068109,0.0034706,0.030748
-0.065833,-0.001342,0.039749
-0.063935,-0.0012002,0.04297
-0.062476,0.01472,0.074106
-0.067728,0.013114,0.030981
-0.0656,0.017671,0.033977
-0.067082,0.025409,0.028808
-0.066097,0.017124,0.029316
-0.063487,0.036032,0.045888
-0.065829,0.034325,0.065337
-0.063077,0.037954,0.074329
-0.065015,0.020817,0.031026
-0.062273,0.027085,0.069119
-0.065628,0.0083996,0.029429
-0.064218,0.022872,0.074718
-0.062524,0.029572,0.063718
-0.064555,0.030292,0.050499
-0.063322,-0.0014835,0.058635
-0.063639,0.0097932,0.074688
-0.064616,0.0034848,0.049654
-0.063922,0.034565,0.044242
-0.064071,0.009912,0.080176
-0.067131,-0.0013066,0.067581
-0.063802,0.018042,0.066428
-0.065077,0.018594,0.029673
-0.064601,0.042905,0.045475
-0.062752,0.0070551,0.084304
-0.064196,0.0091213,0.087795
-0.063934,0.0043914,0.055293
-0.064524,0.031753,0.040042
-0.065043,0.014733,0.040071
-0.06324,0.024943,0.053327
-0.06529,0.037554,0.030141
-0.06472,0.031472,0.041151
-0.064625,0.037371,0.04606
-0.063803,0.032044,0.041608
-0.061283,0.029595,0.086104
-0.062905,0.034581,0.053534
-0.062939,0.0021047,0.084083
-0.064244,0.022276,0.05502
-0.065394,0.034882,0.028634
-0.064363,0.027864,0.07682
-0.064321,0.017753,0.074117
-0.063277,0.016003,0.071433
-0.065502,0.022097,0.036519
-0.065017,0.031532,0.054342
-0.061713,0.0032865,0.086128
-0.063613,0.0037629,0.043931
-0.065327,0.03927,0.056793
-0.063744,0.019352,0.033263
-0.061049,0.028092,0.071141
-0.064859,0.016728,0.037383
-0.062276,0.043405,0.062001
-0.064155,0.033049,0.041991
-0.062691,-0.00090892,0.047543
-0.065257,0.022178,0.028897
-0.066904,0.040863,0.043512
-0.063813,0.0063749,0.054364
-0.063655,0.015782,0.069343
-0.063333,0.00024648,0.04686
-0.06345,0.019107,0.040821
-0.067121,-0.002019,0.061223
-0.061015,0.025349,0.08174
-0.062165,0.044308,0.057669
-0.061928,0.018235,0.065331
-0.05968,0.045154,0.067283
-0.061629,0.027914,0.083683
-0.06248,0.010694,0.073071
-0.063776,0.035008,0.045853
-0.063014,0.019355,0.071952
-0.063375,0.018521,0.036098
-0.062726,0.015444,0.06948
-0.064773,-0.0012496,0.047354
-0.063918,0.02389,0.055164
-0.062506,0.016415,0.077214
-0.064697,0.032528,0.077707
-0.062175,0.024973,0.086056
-0.064346,0.024083,0.075966
-0.064251,0.010871,0.081118
-0.061592,0.016229,0.066832
-0.061916,0.013866,0.072004
-0.062333,0.040559,0.029742
-0.060762,0.047752,0.048782
-0.06216,0.01887,0.039113
-0.062935,0.0040371,0.052993
-0.06158,0.0054671,0.088555
-0.062676,0.0042192,0.031422
-0.062719,0.0049724,0.044634
-0.062501,0.024196,0.073631
-0.061687,0.01282,0.092115
-0.059997,0.025758,0.075105
-0.063093,0.018551,0.038058
-0.064027,0.019986,0.039391
-0.060681,0.038218,0.07794
-0.061101,0.030278,0.069155
-0.061733,0.013623,0.073348
-0.060569,-0.001593,0.073971
-0.062883,0.031297,0.063782
-0.06431,0.0051593,0.05606
-0.065355,0.021343,0.030763
-0.05976,0.024311,0.091576
-0.064123,0.019145,0.037202
-0.061145,0.0069975,0.05649
-0.063439,0.032769,0.065947
-0.062478,0.033258,0.056577
-0.066872,0.036652,0.054363
-0.061384,0.0017281,0.049248
-0.061813,0.010167,0.075991
-0.060795,0.017361,0.065935
-0.063221,0.04436,0.044257
-0.063306,0.044218,0.038746
-0.063137,0.031291,0.068753
-0.062248,0.043258,0.033842
-0.059955,0.027046,0.067804
-0.061792,0.012578,0.072225
-0.061561,0.0092005,0.055041
-0.065018,0.018502,0.029893
-0.062229,0.027847,0.049731
-0.060332,0.0071215,0.048451
-0.061086,0.011963,0.074613
-0.060923,0.027397,0.051926
-0.06303,0.040297,0.057828
-0.061351,0.028631,0.049814
-0.060462,0.046777,0.056948
-0.058721,0.039776,0.059238
-0.059823,0.0092324,0.092164
-0.058772,0.045432,0.062355
-0.060215,0.030664,0.064554
-0.067306,0.0016722,0.0317
-0.060163,0.030925,0.052302
-0.060644,0.017747,0.0927
-0.059856,0.003514,0.089438
-0.061446,0.043419,0.058949
-0.058373,0.025594,0.088843
-0.058765,0.025499,0.077801
-0.059016,0.038927,0.081964
-0.058346,0.029144,0.089633
-0.062257,0.031586,0.02767
-0.061274,0.0028002,0.048522
-0.058485,0.020401,0.030607
-0.059107,-0.0015314,0.06599
-0.059021,0.0076036,0.055119
-0.060005,0.018296,0.037286
-0.062183,0.0061744,0.031785
-0.058873,0.025401,0.090559
-0.062029,0.020412,0.030067
-0.060094,0.028735,0.051198
-0.05722,0.021912,0.065374
-0.060169,0.008256,0.049628
-0.057446,0.0093226,0.091674
-0.06146,-0.00057745,0.049263
-0.061658,0.04566,0.043429
-0.05807,0.038897,0.054786
-0.061163,0.036113,0.056964
-0.057761,0.030078,0.090703
-0.05969,0.0016175,0.050643
-0.061373,0.018459,0.034275
-0.057634,0.014136,0.091174
-0.058311,0.00039827,0.087106
-0.057665,0.041017,0.079656
-0.058092,0.0041907,0.052058
-0.059556,0.030145,0.053172
-0.062051,0.02551,0.027712
-0.060095,0.0058954,0.033263
-0.058353,0.032783,0.065743
-0.060489,-0.00028549,0.037044
-0.060045,0.043781,0.060739
-0.057338,0.032086,0.090773
-0.06421,0.0067367,0.030381
-0.058343,-0.00088442,0.074825
-0.062244,-0.00029559,0.080535
-0.059206,0.047098,0.060837
-0.058885,0.01656,0.092417
-0.058313,0.0055789,0.03283
-0.057469,0.019968,0.066999
-0.058852,0.027698,0.067424
-0.060045,0.027622,0.07321
-0.056975,0.026986,0.069189
-0.058691,0.043706,0.031018
-0.059987,0.009459,0.056194
-0.060023,0.021171,0.093378
-0.056017,0.0025143,0.052626
-0.05842,0.029189,0.065899
-0.056633,0.034797,0.055532
-0.057239,0.0019022,0.089245
-0.057235,-0.00092811,0.060082
-0.059041,0.043446,0.073804
-0.057546,0.027209,0.065809
-0.056864,0.046436,0.070914
-0.058881,0.039708,0.077101
-0.057452,0.021254,0.030806
-0.060744,0.020125,0.029954
-0.058702,0.026805,0.084065
-0.058958,0.011037,0.051606
-0.057014,0.01088,0.052262
-0.057585,0.0034977,0.073723
-0.058595,0.027511,0.079081
-0.057916,0.03163,0.066361
-0.056623,0.023752,0.082063
-0.060507,-0.0013537,0.042763
-0.0581,0.031515,0.055258
-0.057421,0.020561,0.06777
-0.056601,0.050677,0.053136
-0.055933,0.0014229,0.071799
-0.059449,0.020565,0.029773
-0.057908,0.019475,0.038716
-0.058235,0.016113,0.091617
-0.056784,0.0048875,0.067876
-0.0579,0.031934,0.065206
-0.0595,0.023263,0.070324
-0.05474,0.011982,0.05368
-0.057358,0.017247,0.095794
-0.057312,0.0051522,0.070719
-0.055893,0.016348,0.086881
-0.057156,0.0051936,0.090737
-0.056387,0.024433,0.06418
-0.055266,0.029473,0.074042
-0.059112,0.046321,0.035596
-0.056022,0.039968,0.076149
-0.05613,0.017409,0.098712
-0.05653,0.010126,0.055411
-0.058784,0.033743,0.052756
-0.060359,0.0061113,0.031801
-0.058338,0.017379,0.093333
-0.058425,0.020171,0.031847
-0.056511,0.026744,0.065831
-0.056275,0.022473,0.065497
-0.058346,-0.00017584,0.051015
-0.056388,0.011787,0.095829
-0.061382,0.016656,0.028658
-0.056233,0.032944,0.092224
-0.057441,0.030284,0.028333
-0.057105,0.032278,0.054598
-0.059429,0.034188,0.086772
-0.059036,0.038991,0.028963
-0.057129,0.024011,0.095125
-0.054971,-0.00012828,0.086244
-0.054906,-0.001528,0.081913
-0.056509,0.00028406,0.052227
-0.056941,-0.00099104,0.071729
-0.057029,0.033024,0.053616
-0.055951,0.048033,0.036215
-0.055574,0.011331,0.097496
-0.054073,0.0025072,0.086775
-0.056159,0.0039418,0.068522
-0.056504,0.0040568,0.073921
-0.055446,0.01747,0.087095
-0.056146,0.023259,0.032994
-0.055839,0.0034552,0.068246
-0.055824,0.0056129,0.069535
-0.05892,0.045628,0.062249
-0.058693,-0.0013395,0.078378
-0.057801,0.0084011,0.031636
-0.0559,0.043503,0.031678
-0.056712,0.021644,0.035976
-0.054995,0.0064571,0.094272
-0.056899,0.0075888,0.052952
-0.055418,0.045474,0.074229
-0.055269,0.0033946,0.07336
-0.057255,-0.0005351,0.07589
-0.05618,0.039297,0.060759
-0.056587,0.0027164,0.063658
-0.054798,0.0040088,0.092255
-0.055324,0.0043913,0.052782
-0.054204,0.023574,0.080722
-0.056983,-0.00027694,0.060991
-0.054127,0.025449,0.086681
-0.05643,0.050599,0.045845
-0.055847,0.043713,0.061844
-0.056847,0.02541,0.029261
-0.055476,0.03916,0.087264
-0.056885,0.046807,0.065054
-0.056068,0.0036964,0.066825
-0.055506,0.023491,0.031541
-0.05403,0.025489,0.092698
-0.055501,0.0019879,0.069926
-0.050437,0.025523,0.087853
-0.055709,0.010648,0.056013
-0.055915,0.035789,0.056148
-0.056124,0.022489,0.036592
-0.052359,0.024137,0.097523
-0.055037,0.00066656,0.066897
-0.057033,0.044618,0.062318
-0.055025,0.016026,0.091712
-0.054616,0.043699,0.083766
-0.054637,0.046661,0.073533
-0.055206,0.04665,0.066068
-0.055842,0.038129,0.056094
-0.054981,0.007872,0.088321
-0.054109,0.0084601,0.09353
-0.055339,0.029257,0.029588
-0.05268,-0.0010827,0.082106
-0.055935,0.043678,0.075513
-0.058813,0.01168,0.053708
-0.058348,0.0022933,0.033987
-0.05477,0.04683,0.076451
-0.052427,0.027542,0.067246
-0.054887,-0.0001129,0.066523
-0.055289,0.0065207,0.033959
-0.056689,-0.00043194,0.044362
-0.055553,0.041457,0.031001
-0.055362,0.036323,0.088108
-0.051601,0.053491,0.060172
-0.05448,0.014042,0.099381
-0.051621,0.014342,0.084484
-0.056822,0.0068964,0.036087
-0.056399,0.0060508,0.033213
-0.056417,0.029284,0.036616
-0.056265,0.025196,0.04026
-0.054039,0.0084856,0.093524
-0.055405,0.033306,0.032972
-0.053483,0.004506,0.09785
-0.05483,0.026525,0.072532
-0.052815,0.029925,0.098152
-0.052634,0.0072443,0.096857
-0.056146,0.043882,0.07571
-0.053885,0.041467,0.086357
-0.057523,0.040868,0.057239
-0.053465,0.0094451,0.096416
-0.056424,0.0080199,0.038043
-0.054404,0.0071369,0.08433
-0.055682,0.023985,0.032463
-0.056199,0.034743,0.03252
-0.053933,0.051468,0.046988
-0.05626,0.038412,0.03603
-0.054733,0.011129,0.058858
-0.054965,0.029204,0.095146
-0.053848,0.015918,0.08506
-0.052979,0.050224,0.06572
-0.052723,0.025112,0.066607
-0.056132,0.0091474,0.038032
-0.054378,0.024918,0.064375
-0.055854,0.037235,0.029818
-0.0555,0.041756,0.031088
-0.055876,0.037392,0.034563
-0.052991,0.035689,0.094876
-0.054666,0.034175,0.034572
-0.055189,0.036276,0.056853
-0.056292,0.022391,0.040382
-0.054071,0.0084854,0.036633
-0.055285,-0.00041932,0.068757
-0.055765,0.039772,0.036872
-0.055791,0.025805,0.037801
-0.058957,-0.0011681,0.053015
-0.055673,0.0059823,0.033711
-0.051633,0.010336,0.090091
-0.053735,0.010996,0.078246
-0.052594,0.02362,0.077273
-0.052733,0.023856,0.038784
-0.056145,0.035431,0.029757
-0.052399,0.041067,0.089399
-0.05466,0.025915,0.070714
-0.055063,0.029274,0.038151
-0.053965,0.0099803,0.053222
-0.054577,0.042496,0.063552
-0.051486,0.02911,0.099011
-0.051088,0.0021804,0.10014
-0.053909,-0.0014106,0.058892
-0.061798,-0.00096296,0.048312
-0.055897,0.037907,0.03454
-0.052093,0.02063,0.10043
-0.053286,0.012253,0.098599
-0.056336,0.00029787,0.037926
-0.052478,-0.00087997,0.067515
-0.055711,0.010764,0.03958
-0.051512,0.035192,0.087276
-0.054116,0.009704,0.060419
-0.052817,0.039176,0.061523
-0.056065,0.035099,0.033229
-0.054955,0.0072072,0.055185
-0.055207,-0.0012162,0.076375
-0.05138,0.00084889,0.083051
-0.053012,0.026745,0.076747
-0.055185,0.026339,0.079609
-0.051112,0.04023,0.085726
-0.054414,0.024736,0.042427
-0.051446,0.009086,0.09366
-0.05368,0.011134,0.054206
-0.051859,0.014796,0.1039
-0.048363,0.026606,0.083218
-0.053152,0.005178,0.084132
-0.05205,0.012136,0.10437
-0.051643,0.0096675,0.058968
-0.055236,0.044366,0.0334
-0.053551,0.011327,0.079224
-0.053493,0.0015692,0.095037
-0.052998,0.039117,0.058022
-0.053,0.040079,0.063456
-0.055018,0.02712,0.040384
-0.05068,0.050123,0.078965
-0.053891,0.046063,0.073378
-0.054957,0.025332,0.064106
-0.052223,0.026163,0.066367
-0.051354,0.0017066,0.056915
-0.050852,0.0088234,0.098403
-0.052455,0.0063086,0.099956
-0.054505,0.010526,0.039099
-0.052353,0.006191,0.037803
-0.05199,0.049656,0.0747
-0.054582,0.02327,0.030901
-0.056722,0.027941,0.089438
-0.054478,0.042195,0.063327
-0.055143,0.041472,0.035075
-0.050955,0.039892,0.073374
-0.052364,0.040117,0.064223
-0.054682,0.010753,0.041203
-0.05021,-0.0012059,0.070555
-0.053557,0.045925,0.034754
-0.055015,0.027527,0.090013
-0.054496,0.017387,0.089147
-0.054302,0.0099121,0.042316
-0.05163,0.03891,0.066547
-0.051699,0.0030767,0.0571
-0.049572,0.024406,0.076581
-0.054078,0.028632,0.034683
-0.052192,0.043495,0.073092
-0.055285,0.034603,0.089341
-0.054124,0.036512,0.039199
-0.054404,0.00020192,0.053763
-0.051591,0.013449,0.072505
-0.051149,0.012081,0.082853
-0.052882,0.02211,0.099878
-0.053325,0.045049,0.069553
-0.052365,0.050149,0.068496
-0.052846,0.043798,0.036326
-0.052345,0.052405,0.041493
-0.054528,0.045638,0.034859
-0.049783,0.003583,0.080958
-0.052769,0.048674,0.073216
-0.053874,0.046913,0.033042
-0.053884,0.032021,0.036991
-0.053149,0.032282,0.035351
-0.053729,0.017454,0.086512
-0.050839,0.028707,0.085942
-0.051376,0.043294,0.085169
-0.049569,0.019813,0.10445
-0.052899,0.018831,0.054562
-0.048833,0.010456,0.091525
-0.050628,0.0088711,0.10529
-0.049023,0.010797,0.082996
-0.05026,0.037105,0.08325
-0.04985,0.01397,0.082505
-0.052838,0.037895,0.059221
-0.049231,0.016624,0.10741
-0.052054,0.013421,0.076216
-0.054949,0.032447,0.031265
-0.053118,0.0412,0.059492
-0.053602,0.033885,0.036695
-0.05383,0.0080385,0.041187
-0.052041,0.029502,0.069489
-0.051236,0.047777,0.066357
-0.054199,0.00015242,0.053976
-0.050482,0.0096572,0.09281
-0.048579,0.023082,0.09749
-0.054823,0.033929,0.029784
-0.050713,0.00019878,0.057188
-0.052463,0.045142,0.083943
-0.052095,0.0086432,0.061609
-0.052573,0.046219,0.070026
-0.053703,0.037801,0.039228
-0.053398,0.010576,0.06067
-0.050053,0.0080817,0.095269
-0.052278,0.038529,0.060776
-0.051264,0.041115,0.070556
-0.050649,0.044062,0.086276
-0.050408,0.053178,0.062587
-0.054419,0.02628,0.036594
-0.053464,0.045182,0.030249
-0.052925,0.00051811,0.091352
-0.052294,0.02442,0.041769
-0.051186,0.0066789,0.056408
-0.052112,0.040668,0.074
-0.05172,0.022515,0.053683
-0.054417,0.0027904,0.053882
-0.053639,0.00844,0.043351
-0.052025,0.014794,0.088658
-0.051791,0.0070008,0.045512
-0.047594,0.0072282,0.075949
-0.050394,0.041888,0.084835
-0.050981,0.027096,0.069019
-0.053491,0.047763,0.034029
-0.050446,0.047966,0.084344
-0.053186,0.035996,0.0891
-0.050531,0.038031,0.063313
-0.050794,0.016086,0.084267
-0.05123,0.035113,0.08526
-0.048289,0.022751,0.089691
-0.050854,0.050708,0.065745
-0.048591,0.015143,0.06957
-0.049612,0.054159,0.058242
-0.048821,0.013534,0.10828
-0.050369,0.026611,0.096278
-0.049066,0.036922,0.065817
-0.051675,0.014085,0.073181
-0.049604,0.0028091,0.057098
-0.052251,0.042238,0.037508
-0.050088,0.0041995,0.040284
-0.04904,0.053429,0.071486
-0.049958,0.042965,0.073378
-0.047812,0.031335,0.10093
-0.052231,0.005383,0.04392
-0.050049,0.051203,0.065217
-0.048361,0.036232,0.099842
-0.049711,0.028213,0.088315
-0.052588,0.051489,0.047293
-0.050678,0.017011,0.10237
-0.050849,0.023701,0.041967
-0.048614,-0.00030444,0.076376
-0.047168,0.0017525,0.10268
-0.051282,0.00030448,0.056829
-0.049645,0.010938,0.075181
-0.051614,0.010836,0.060664
-0.048053,0.047802,0.087646
-0.048018,0.039162,0.084206
-0.047873,0.0096465,0.092332
-0.04988,0.011499,0.088593
-0.049068,0.027513,0.098608
-0.051856,0.0060218,0.042824
-0.048169,0.053007,0.041985
-0.049479,0.047765,0.030167
-0.049341,0.0011155,0.057879
-0.052371,0.02368,0.036103
-0.050016,0.01617,0.09886
-0.052835,0.0069782,0.040169
-0.051675,0.022476,0.032071
-0.053823,0.011108,0.032988
-0.046948,0.02771,0.072432
-0.04463,0.037808,0.10198
-0.047481,0.00097734,0.075007
-0.047308,0.0089803,0.095317
-0.049673,0.041753,0.083708
-0.050099,0.011747,0.08844
-0.04851,0.011939,0.087296
-0.04956,0.044081,0.091384
-0.050951,0.009945,0.062068
-0.051845,0.051111,0.047407
-0.053042,0.036598,0.028403
-0.049136,0.0097874,0.082614
-0.051976,0.026847,0.03057
-0.051271,0.010454,0.059596
-0.048086,0.026082,0.070984
-0.048982,0.039141,0.082015
-0.051989,0.0052781,0.037223
-0.050434,0.052339,0.066755
-0.047098,0.040548,0.065361
-0.053494,0.0022378,0.036997
-0.052958,0.046551,0.072069
-0.052068,-2.1701e-05,0.042147
-0.050489,-0.0008308,0.052936
-0.047279,0.023059,0.09551
-0.047636,0.018287,0.10753
-0.047673,0.038083,0.068562
-0.048845,0.0062864,0.058274
-0.048823,0.0053146,0.061163
-0.048438,0.020456,0.10292
-0.049317,0.013407,0.078982
-0.046419,0.01547,0.098408
-0.05067,0.0096715,0.034739
-0.047635,-0.0012476,0.087971
-0.050159,0.050103,0.032115
-0.048469,0.021264,0.09903
-0.048566,0.01171,0.061108
-0.048443,0.037433,0.081945
-0.04784,0.00083374,0.10143
-0.045662,0.025891,0.082208
-0.049208,0.00020769,0.084926
-0.050188,0.04075,0.049154
-0.049376,0.045465,0.033718
-0.046837,0.012307,0.072532
-0.047807,0.048852,0.06508
-0.047974,0.01433,0.058838
-0.050183,0.0055665,0.047602
-0.049832,0.041709,0.04794
-0.048497,0.042632,0.072351
-0.049293,0.0059933,0.10389
-0.045884,0.021817,0.08824
-0.049896,0.021667,0.041418
-0.045907,0.02634,0.072366
-0.05082,0.028971,0.069304
-0.047387,0.040683,0.07005
